population,life_expectancy,state_name_combined
4863300,76,AlabamaAL
741894,78,AlaskaAK
6931071,80,ArizonaAZ
2988248,76,ArkansasAR
39268294,81,CaliforniaCA
5540545,80,ColoradoCO
3576452,81,ConnecticutCT
952065,79,DelawareDE
20612439,79,FloridaFL
10310371,77,GeorgiaGA
1428557,81,HawaiiHI
1683140,79,IdahoID
12801539,79,IllinoisIL
6633053,78,IndianaIN
3134693,80,IowaIA
2907289,79,KansasKS
4436974,76,KentuckyKY
4681666,76,LouisianaLA
1331479,79,MaineME
6016447,79,MarylandMD
6811779,80,MassachusettsMA
9928300,78,MichiganMI
5519952,81,MinnesotaMN
2988726,75,MississippiMS
6093000,78,MissouriMO
1042520,79,MontanaMT
1907116,80,NebraskaNE
2940058,78,NevadaNV
1334795,80,New HampshireNH
8944469,80,New JerseyNJ
2081015,78,New MexicoNM
19745289,80,New YorkNY
10146788,78,North CarolinaNC
757952,80,North DakotaND
11614373,78,OhioOH
3923561,76,OklahomaOK
4093465,79,OregonOR
12784227,79,PennsylvaniaPA
1056426,80,Rhode IslandRI
4961119,77,South CarolinaSC
865454,80,South DakotaSD
6651194,76,TennesseeTN
27862596,79,TexasTX
3051217,80,UtahUT
624594,80,VermontVT
8411808,79,VirginiaVA
7288000,80,WashingtonWA
1831102,76,West VirginiaWV
5778708,80,WisconsinWI
585501,79,WyomingWY
